start_time,end_time,label
0,29,steering
36,88,texting
95,118,steering
125,150,calling_right
152,178,calling_left
185,208,steering
217,271,reading
273,301,steering
305.993,307.193,eating_up
307.826,308.36,eating_down
315.76,318.593,eating_up
318.76,320.86,eating_down
322.893,325.96,eating_up
326.493,329.093,eating_down
332.626,333.993,eating_up
334.526,336.226,eating_down
342.726,344.16,eating_up
344.26,345.26,eating_down
348.726,350.626,eating_up
351.36,352.66,eating_down
357.825,360.625,eating_up
360.491,361.591,eating_down
