start_time,end_time,label
0,31,steering
36,93,texting
96,122,steering
126,147,calling_right
150,181,calling_left
186,212,steering
220,273,reading
276,300,steering
317.466,318.501,eating_up
318.768,319.201,eating_down
325.673,327.175,eating_up
327.375,328.475,eating_down
331.143,332.478,eating_up
332.845,333.378,eating_down
338.315,339.816,eating_up
340.083,341.685,eating_down
346.888,348.956,eating_up
349.323,350.425,eating_down
351.96,353.393,eating_up
353.593,354.16,eating_down
367,390,steering
