loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,label
1537844485.753644,1,0,2586.210419125,-0.02398681640625,-0.3931121826171875,-0.9253387451171875,2586.208933125,-0.06699927407199546,0.09321543184273548,-0.02269625775798229,0
1537844485.760074,2,0,2586.220235125,-0.022430419921875,-0.401702880859375,-0.9383087158203125,2586.218937125,-0.08800735401497652,0.0697162310160943,-0.04191362818399407,0
1537844485.760644,3,0,2586.230034125,-0.01177978515625,-0.3974761962890625,-0.9497833251953125,,,,,0
1537844485.761109,4,0,2586.239835125,-0.00390625,-0.383087158203125,-0.9545135498046875,2586.228961125,-0.09848316447891221,0.05053028589094545,-0.05253165145014,0
1537844485.761561,5,0,2586.249636125,-0.003753662109375,-0.3719482421875,-0.9601287841796875,2586.248964125,-0.02452398521410367,-0.08229034610290342,-0.06888905318151568,0
1537844485.761834,6,0,2586.259438125,-0.0031890869140625,-0.37579345703125,-0.96875,,,,,0
1537844485.762137,7,0,2586.269244125,-0.00701904296875,-0.386260986328125,-0.9724578857421875,2586.258982125,0.02387151074703426,-0.1504608784223157,-0.09558324836792494,0
1537844485.762561,8,0,2586.279042125,-0.009918212890625,-0.3968505859375,-0.96710205078125,2586.278983125,0.05024106659656284,-0.1595209524507653,-0.159173143612401,0
1537844485.76283,9,0,2586.288836125,-0.01568603515625,-0.40771484375,-0.9459381103515625,,,,,0
1537844485.763281,10,0,2586.298662125,-0.0202789306640625,-0.4214935302734375,-0.9324951171875,2586.289003125,0.003486610499131739,-0.1002304644701132,-0.1771452199126917,0
1537844485.763822,11,0,2586.308464125,-0.0226898193359375,-0.43792724609375,-0.9242401123046875,2586.308998125,-0.1116807255769089,-0.005752960586789171,-0.1801007960904616,0
1537844485.764186,12,0,2586.318254125,-0.0258941650390625,-0.4541473388671875,-0.9230499267578125,2586.319023125,-0.06088146041586543,-0.1040976406890173,-0.1383536154745975,0
1537844485.76446,13,0,2586.328069125,-0.03179931640625,-0.4642333984375,-0.928802490234375,,,,,0
1537844485.764846,14,0,2586.337869125,-0.0275115966796875,-0.4671630859375,-0.917388916015625,2586.339011125,0.09998944839146102,-0.1649524694939819,-0.04887885969898732,0
1537844485.765412,15,0,2586.347674125,-0.030975341796875,-0.45330810546875,-0.886383056640625,2586.349044125,0.1183679230740979,0.06126468929672783,-0.02375246744630772,0
1537844485.765786,16,0,2586.357472125,-0.037322998046875,-0.4386138916015625,-0.835540771484375,,,,,0
1537844485.766109,17,0,2586.367274125,-0.0443267822265625,-0.4586639404296875,-0.810791015625,2586.359036125,0.1005124932295526,0.2907016098453434,0.003109240572667511,0
1537844485.766459,18,0,2586.377054125,-0.04595947265625,-0.481201171875,-0.8230133056640625,2586.369040125,0.06182208891288142,0.3905669549300067,0.01474831980074981,0
1537844485.766802,19,0,2586.386876125,-0.0448760986328125,-0.48370361328125,-0.8536529541015625,2586.379066125,0.02986681899302064,0.3641044547584343,0.01994681024858449,0
1537844485.767232,20,0,2586.396678125,-0.041717529296875,-0.4806671142578125,-0.8819732666015625,2586.399070125,-0.001520664982435245,0.1740796551819015,0.007200921271465252,0
1537844485.76804,21,0,2586.406477125,-0.033935546875,-0.471893310546875,-0.910980224609375,2586.409087125,0.01919233671176504,0.0593040701022115,-0.01196877857103411,0
1537844485.768831,22,0,2586.416279125,-0.0234832763671875,-0.455535888671875,-0.9303436279296875,,,,,0
1537844485.809375,23,0,2586.426081125,-0.02557373046875,-0.4496002197265625,-0.9350738525390625,2586.419084125,0.05781562936896621,0.006104231534570622,-0.02608992393507027,0
1537844485.815905,24,0,2586.435876125,-0.0351715087890625,-0.45208740234375,-0.9228668212890625,2586.429088125,0.09831964638798135,0.05690962196612126,-0.03777640743055598,0
1537844485.816837,25,0,2586.445681125,-0.04278564453125,-0.453887939453125,-0.905975341796875,2586.439108125,0.1279979135758244,0.1767135214999898,-0.04689560363520531,0
1537844485.817304,26,0,2586.455482125,-0.0445709228515625,-0.45294189453125,-0.895660400390625,2586.459120125,0.1076955713217143,0.34523675738355,-0.06967868044472418,0
1537844485.817609,27,0,2586.465282125,-0.0439300537109375,-0.4505615234375,-0.9014434814453125,,,,,0
1537844485.825147,28,0,2586.475085125,-0.033233642578125,-0.4561309814453125,-0.9258880615234375,2586.469110125,0.06843631579620221,0.3239711497631583,-0.07737974336890631,0
